Concurso,Data_Sorteio,Bola1,Bola2,Bola3,Bola4,Bola5,Bola6,Bola7,Bola8,Bola9,Bola10,Bola11,Bola12,Bola13,Bola14,Bola15,Arrecada=C3=A7=C3=A3o_Total,Ganhadores_15_N=C3=BAmeros,Cidade,Ganhadores_14_N=C3=BAmeros,Ganhadores_13_N=C3=BAmeros,Ganhadores_12_N=C3=BAmeros,Ganhadores_11_N=C3=BAmeros,Valor_Rateio_15_N=C3=BAmeros,Valor_Rateio_14_N=C3=BAmeros,Valor_Rateio_13_N=C3=BAmeros,Valor_Rateio_12_N=C3=BAmeros,Valor_Rateio_11_N=C3=BAmeros,Acumulado_15_N=C3=BAmeros,Estimativa_Pr=C3=AAmio,Valor_Acumulado_Especial
485,07/12/2009,2.0,3.0,4.0,005<= /td>,6.0,7.0,11.0,16.0,17.0,18.0,20.0,21.0,22.0,24.0,025,"R$17.202.7= 96,25",2.0,S=C3=83O MATEUSES JABOAT=C3=83O DOS GUARARAPESPE,S=C3=83O MATEUS,ES,JABOAT=C3=83O DOS GUARARAPES,PE,211,8989,153197,967691,"R$1= .047.362,19","R$4.254,69","R$12,50","R$5,00"
486,10/12/2009,1.0,2.0,3.0,004<= /td>,5.0,7.0,9.0,11.0,13.0,15.0,18.0,19.0,20.0,21.0,022,"R$16.414.2= 07,50",3.0,ITAPETININGASP MOGI GUA=C3=87USP S=C3=83O PAULOSP,ITAPETININGA,SP,MOGI GUA=C3=87U,SP,S=C3=83O PAULO,SP,591,21380,272508,1295745,"R= $384.852,57","R$1.196,06"
487,14/12/2009,4.0,5.0,6.0,007<= /td>,8.0,9.0,10.0,14.0,15.0,17.0,18.0,19.0,21.0,22.0,024,"R$17.364.4= 91,25",5.0,CAMPO GRANDEMS RIO DE JANEIRORJ ARA=C3=87ATUBASP EMBU-GUA=C3=87USP,CAMPO GRANDE,MS,RIO DE JANEIRO,RJ,ARA=C3=87ATUBA,SP,EMBU-GUA=C3=87U,SP,331,13349,192877,1071367
488,17/12/2009,5.0,6.0,7.0,008<= /td>,11.0,12.0,13.0,14.0,15.0,17.0,18.0,20.0,22.0,24.0,025,"R$16.418.3= 61,25",6.0,LAURO DE FREITASBA SALVADORBA RIO VERDEGO MARAB=C3=81PA S=C3=83O GERALDO DO ARAGUAIAPA S=C3=83O MANUELSP,LAURO DE FREITAS,BA,SALVADOR,BA,RIO VERDE,GO,MARAB=C3=81,PA,S=C3=83O GERALDO DO ARAGUAIA,PA,S=C3=83O MANUEL,SP
489,21/12/2009,1.0,2.0,5.0,007<= /td>,10.0,11.0,12.0,14.0,17.0,18.0,19.0,21.0,22.0,23.0,025,"R$17.300.7= 11,25",1.0,CAMPINA GRANDEPB,CAMPINA GRANDE,PB,773,26471,262837,1315551,"R= $1.314.020,28","R$1.040,75","R$12,50","R$5,00","R$2= ,50","R$0,00"
490,24/12/2009,3.0,5.0,6.0,008<= /td>,10.0,11.0,12.0,13.0,14.0,16.0,17.0,18.0,21.0,22.0,023,"R$13.123.3= 40,00",3.0,RIO BRANCOAC ALTO ARAGUAIAMT S=C3=83O PAULOSP,RIO BRANCO,AC,ALTO ARAGUAIA,MT,S=C3=83O PAULO,SP,360,12787,164246,889574,"R$= 420.057,19","R$1.500,20"
491,28/12/2009,1.0,2.0,3.0,007<= /td>,9.0,11.0,12.0,13.0,16.0,20.0,21.0,22.0,23.0,24.0,025,"R$14.272.1= 88,75",10.0,MANAUSAM ITAJUB=C3=81MG S=C3=83O GABRIEL DO OESTEMS RONDON DO PAR=C3=81PA PETROLINAPE DIADEMASP S=C3=83O PAULOSP TAUBAT=C3=89SP,MANAUS,AM,ITAJUB=C3=81,MG,S=C3=83O GABRIEL DO OESTE,MS,RONDON DO PAR=C3=81,PA,PETROLINA,PE,DIADEMA,SP
492,31/12/2009,1.0,2.0,3.0,004<= /td>,6.0,8.0,11.0,12.0,14.0,15.0,18.0,19.0,21.0,24.0,025,"R$11.734.5= 30,00",2.0,CAMPO GRANDEMS JOINVILLESC,CAMPO GRANDE,MS,JOINVILLE,SC,273,10832,147080,784911,"R$= 571.428,57","R$1.794,13","R$12,50","R$5,00"
493,04/01/2010,1.0,4.0,5.0,007<= /td>,8.0,10.0,12.0,13.0,14.0,15.0,17.0,18.0,21.0,22.0,025,"R$13.328.7= 21,25",1.0,CAXAMB=C3=9AMG,CAXAMB=C3=9A,MG,522,16064,182362,960295,"R$= 1.153.381,96","R$1.352,78","R$12,50","R$5,00","R$2,= 50","R$0,00"
494,07/01/2010,2.0,3.0,4.0,005<= /td>,7.0,8.0,12.0,13.0,15.0,16.0,18.0,19.0,20.0,21.0,022,"R$16.283.5= 52,50",1.0,IPIRANGA DO NORTEMT,IPIRANGA DO NORTE,MT,410,17607,201733,1055673,"R= $1.616.972,81","R$1.690,22","R$12,50","R$5,00","R$2= ,50","R$0,00"
